time date  o3 flags cellai cellbi bncht lmpt o3lt flowa flowb pres
16:59 08-26 -1659E-4 1c100500 70560 85428 28.3 56.8 70.1 0.000 0.000 723.1
17:00 08-26 -1560E-4 1c100500 70579 85450 28.3 56.8 70.1 0.000 0.000 723.1
17:01 08-26 -2019E-4 1c100500 70573 85442 28.3 56.8 70.1 0.000 0.000 723.1
17:02 08-26 -2748E-4 1c100500 70571 85441 28.3 56.8 70.1 0.000 0.000 723.1
17:03 08-26 -1877E-4 1c100500 70552 85418 28.3 56.8 70.1 0.000 0.000 723.1
17:04 08-26 -2052E-4 1c100500 70556 85422 28.3 56.8 70.1 0.000 0.000 723.0
17:05 08-26 7670E-6 1c100500 70563 85431 28.3 56.8 70.1 0.000 0.000 723.0
17:07 08-26 -8926E-5 1c100500 70567 85436 28.3 56.8 70.1 0.000 0.000 723.0
17:08 08-26 -2353E-4 1c100500 70569 85439 28.3 56.8 70.1 0.000 0.000 723.0
17:09 08-26 -5591E-5 1c100500 70576 85447 28.3 56.8 70.1 0.000 0.000 723.0
