pcdate pctime time date  o3 flags cellai cellbi bncht lmpt o3lt flowa flowb pres
2022-06-01 00:40:00 00:43 06-01 5281E-2 1c000000 98811 66615 25.5 55.5 99.9 0.538 0.587 491.7
2022-06-01 00:41:05 00:44 06-01 5265E-2 1c000000 98801 66610 25.5 55.5 99.9 0.538 0.587 491.6
2022-06-01 00:42:00 00:45 06-01 5296E-2 1c000000 98813 66619 25.5 55.5 99.9 0.538 0.587 491.6
2022-06-01 00:43:00 00:46 06-01 5355E-2 1c000000 98791 66606 25.5 55.5 99.9 0.538 0.587 491.7
2022-06-01 00:44:04 00:47 06-01 5264E-2 1c000000 98793 66608 25.5 55.5 99.9 0.538 0.587 491.6
2022-06-01 00:45:00 00:48 06-01 5263E-2 1c000000 98789 66607 25.5 55.5 99.9 0.538 0.587 491.7
2022-06-01 00:46:00 00:49 06-01 5261E-2 1c000000 98781 66602 25.5 55.5 99.9 0.538 0.587 491.6
2022-06-01 00:47:05 00:50 06-01 5270E-2 1c000000 98765 66593 25.5 55.5 99.9 0.538 0.587 491.7
2022-06-01 00:48:00 00:51 06-01 5268E-2 1c000000 98774 66599 25.5 55.5 99.9 0.538 0.587 491.7
2022-06-01 00:49:00 00:52 06-01 5261E-2 1c000000 98757 66606 25.4 55.5 99.9 0.538 0.587 491.6
